id,area_ratio,r_min,r_max,r_mean,r_median,r_std,g_min,g_max,g_mean,g_median,g_std,b_min,b_max,b_mean,b_median,b_std,eccentricity,solidity,circularity,sym_h,sym_v,bug_type
42,0.013253875,3.0,255.0,108.27125549316406,102.0,46.35064315795898,0.0,255.0,92.45467376708984,91.0,45.36817932128906,0.0,255.0,76.2532958984375,68.0,42.86307144165039,0.4199682943375463,0.6668616352201258,0.2077046494514512,0.027534021064639,0.4225407838821411,0
43,0.0193913333333333,11.0,255.0,119.04753112792967,122.0,47.99797058105469,0.0,255.0,85.4225082397461,84.0,44.95246124267578,0.0,255.0,76.4801254272461,79.0,42.72230911254883,0.778687388156043,0.602012780379272,0.2151150522231136,0.1936425864696502,0.4061803817749023,0
44,0.0125543333333333,9.0,255.0,127.0018310546875,127.0,48.30790328979492,0.0,255.0,103.29353332519533,106.0,45.195926666259766,0.0,255.0,88.42584228515625,85.0,45.46596145629883,0.3346325706713211,0.6441367869267408,0.2810178467471925,0.2295786291360855,0.4798110425472259,0
45,0.0136154166666666,9.0,235.0,89.05096435546875,79.0,46.040287017822266,6.0,217.0,74.8001480102539,68.0,42.82184600830078,0.0,250.0,47.33235549926758,32.0,42.042091369628906,0.7181139605213082,0.6563755423429214,0.1996011615728551,0.5721696019172668,0.6430760622024536,0
46,0.0209344583333333,5.0,255.0,98.75630950927734,98.0,45.11698913574219,0.0,243.0,84.42245483398438,84.0,42.30267333984375,0.0,241.0,68.46663665771484,60.0,44.16185760498047,0.3545484365939695,0.7571746125038618,0.2557205277537331,0.3332642316818237,0.2139757722616195,0
47,0.012116,3.0,255.0,94.8547134399414,87.0,59.19822311401367,0.0,243.0,82.95425415039062,78.0,52.42729949951172,0.0,255.0,109.7019500732422,97.0,66.94287872314453,0.4450199976995797,0.7580791490692945,0.2360587907895146,-0.0122654475271701,0.6226404309272766,0
48,0.009546375,6.0,255.0,109.0677719116211,111.0,62.7305793762207,4.0,237.0,89.05054473876953,87.0,54.26655197143555,4.0,255.0,110.66532135009766,101.0,66.2345962524414,0.7640184753242636,0.781113202143763,0.2762855855567979,0.3635554313659668,0.7481222748756409,0
50,0.0198496666666666,10.0,255.0,122.11744689941406,121.0,54.72590255737305,4.0,250.0,95.00973510742188,88.0,53.27815246582031,4.0,255.0,104.8652114868164,102.0,56.3744010925293,0.6189089148674813,0.705828666251815,0.2107953640159289,0.322273313999176,0.1177410632371902,0
51,0.0219363333333333,5.0,247.0,129.27096557617188,135.0,52.8123893737793,2.0,248.0,108.56013488769533,108.0,50.47306060791016,2.0,255.0,131.8351287841797,134.0,58.27640914916992,0.6539299158006332,0.7242861309369858,0.2896804572899081,0.4791612923145294,-0.0004754491092171,0
52,0.020392,7.0,245.0,109.41144561767578,110.0,47.05223846435547,0.0,240.0,97.11785888671876,98.0,47.876800537109375,6.0,255.0,105.92190551757812,102.0,51.5217170715332,0.5383191169687735,0.7353591691508798,0.3284409259804054,0.6197002530097961,0.0786501541733741,0
53,0.0164825,19.0,255.0,124.50289916992188,118.0,48.611061096191406,0.0,234.0,105.12213134765624,102.0,46.84214019775391,1.0,241.0,105.59176635742188,98.0,46.93231964111328,0.6607577154638357,0.7726171875,0.3820399277120438,-0.016758969053626,0.0253949370235204,0
54,0.01179075,7.0,234.0,111.7414779663086,104.0,55.12735366821289,0.0,240.0,99.2581787109375,91.0,55.875858306884766,0.0,238.0,84.50672149658203,70.0,53.71306228637695,0.8019346016584186,0.6229428080834765,0.2088169862801502,0.2769258618354797,-0.0119317881762981,0
55,0.0134513333333333,4.0,220.0,71.99095153808594,67.0,40.42840194702149,0.0,191.0,47.837196350097656,38.0,38.23780059814453,0.0,170.0,33.594696044921875,22.0,31.981204986572266,0.5763951712187907,0.6706608720220041,0.2256202901012398,0.56110680103302,0.0346689596772193,0
56,0.0085278333333333,0.0,255.0,92.5645523071289,80.0,54.075950622558594,0.0,255.0,76.86732482910156,67.0,50.86139678955078,0.0,255.0,59.92730331420898,47.0,43.96355819702149,0.7310072156924181,0.6960738967187244,0.33105766328305,0.6398155093193054,-0.0086012072861194,0
